"106年08月01日 外資及陸資買賣超彙總表"
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數",
" ","1568  ","倉佑            ","36,000","18,000","18,000",
" ","2013  ","中鋼構          ","18,000","0","18,000",
" ","2373  ","震旦行          ","19,000","1,000","18,000",
" ","2501  ","國建            ","54,000","36,000","18,000",
" ","4557  ","永新-KY         ","27,000","9,000","18,000",
" ","6192  ","巨路            ","46,000","28,000","18,000",
" ","6205  ","詮欣            ","18,000","0","18,000",
" ","8271  ","宇瞻            ","26,000","8,000","18,000",
" ","9941  ","裕融            ","38,000","20,000","18,000",
" ",="00646 ","元大S&P500      ","17,000","0","17,000",
" ","1611  ","中電            ","45,000","28,000","17,000",
" ","1773  ","勝一            ","20,000","3,000","17,000",
" ","1307  ","三芳            ","20,000","4,000","16,000",
" ","3605  ","宏致            ","55,000","39,000","16,000",
" ","5243  ","乙盛-KY         ","55,000","39,000","16,000",
" ",="00650L","FH香港正2       ","15,000","0","15,000",
" ",="03238P","友達群益6B售03  ","15,000","0","15,000",
" ",="057658","亞翔元大69購01  ","15,000","0","15,000",
" ","1337  ","再生-KY         ","20,000","5,000","15,000",
" ","1526  ","日馳            ","17,000","2,000","15,000",
" ","3708  ","上緯投控        ","49,000","34,000","15,000",
" ","4526  ","東台            ","15,000","0","15,000",
" ","6422  ","君耀-KY         ","15,000","0","15,000",
" ","1213  ","大飲            ","14,000","0","14,000",
" ","1321  ","大洋            ","20,000","6,000","14,000",
" ","1533  ","車王電          ","23,000","9,000","14,000",
" ","2420  ","新巨            ","18,000","4,000","14,000",
" ","2492  ","華新科          ","159,000","145,000","14,000",
" ","2538  ","基泰            ","20,000","6,000","14,000",
" ","3622  ","洋華            ","18,000","4,000","14,000",
" ","1626  ","艾美特-KY       ","19,000","6,000","13,000",
" ","2453  ","凌群            ","13,000","0","13,000",
" ","3022  ","威強電          ","35,000","22,000","13,000",
" ","1417  ","嘉裕            ","13,000","1,000","12,000",
" ","2616  ","山隆            ","25,000","13,000","12,000",
" ","2845  ","遠東銀          ","132,000","120,000","12,000",
" ","4968  ","立積            ","32,000","20,000","12,000",
" ","5531  ","鄉林            ","68,000","56,000","12,000",
" ","6216  ","居易            ","20,000","8,000","12,000",
" ","3008  ","大立光          ","202,961","191,904","11,057",
" ","1454  ","台富            ","11,000","0","11,000",
" ","2387  ","精元            ","17,000","6,000","11,000",
" ","2428  ","興勤            ","162,000","151,000","11,000",
" ","3536  ","誠創            ","33,000","22,000","11,000",
" ","5285  ","界霖            ","13,000","2,000","11,000",
" ","6112  ","聚碩            ","11,000","0","11,000",
" ","9905  ","大華            ","28,000","17,000","11,000",
" ",="00668 ","國泰美國道瓊    ","10,000","0","10,000",
" ",="060153","台郡凱基6B購02  ","10,000","0","10,000",
" ",="063519","大聯大元富71購01","10,000","0","10,000",
" ","1475  ","本盟            ","10,000","0","10,000",
" ","1538  ","正峰新          ","10,000","0","10,000",
" ","2397  ","友通            ","12,000","2,000","10,000",
" ","2476  ","鉅祥            ","28,000","18,000","10,000",
" ","2704  ","國賓            ","16,000","6,000","10,000",
" ","2852  ","第一保          ","42,000","32,000","10,000",
" ","3058  ","立德            ","10,000","0","10,000",
" ","4725  ","信昌化          ","18,000","8,000","10,000",
" ","6152  ","百一            ","10,000","0","10,000",
" ","8011  ","台通            ","21,000","11,000","10,000",
