"106年07月19日 自營商買賣超彙總表"
,,"自營商(自行買賣)",,,"自營商(避險)",,,"自營商",,,
"證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
="058683","亞光群益6A購02  ","0","0","0","776,000","102,000","674,000","776,000","102,000","674,000",
="062659","正隆國泰74購01  ","0","0","0","946,000","284,000","662,000","946,000","284,000","662,000",
="060593","南亞科富邦71購01","0","0","0","807,000","146,000","661,000","807,000","146,000","661,000",
="057849","敦泰元大69購03  ","0","0","0","2,713,000","2,056,000","657,000","2,713,000","2,056,000","657,000",
="059915","上銀國票6C購01  ","0","0","0","935,000","278,000","657,000","935,000","278,000","657,000",
="060462","GIS永豐6B購04   ","0","0","0","791,000","134,000","657,000","791,000","134,000","657,000",
="062818","凌陽國泰71購01  ","0","0","0","678,000","21,000","657,000","678,000","21,000","657,000",
="062426","彩晶凱基71購01  ","0","0","0","1,148,000","492,000","656,000","1,148,000","492,000","656,000",
="059377","華邦電元大6B購01","0","0","0","1,146,000","497,000","649,000","1,146,000","497,000","649,000",
="059766","聯鈞元大71購03  ","0","0","0","674,000","31,000","643,000","674,000","31,000","643,000",
="062470","友訊國泰73購01  ","0","0","0","663,000","20,000","643,000","663,000","20,000","643,000",
="063123","南亞科元大71購01","0","0","0","712,000","70,000","642,000","712,000","70,000","642,000",
="058860","晶豪科凱基6A購01","0","0","0","764,000","125,000","639,000","764,000","125,000","639,000",
="04150P","儒鴻統一71售04  ","0","0","0","632,000","0","632,000","632,000","0","632,000",
="062337","華紙台新71購01  ","0","0","0","672,000","40,000","632,000","672,000","40,000","632,000",
="060375","美律國泰71購03  ","0","0","0","1,034,000","403,000","631,000","1,034,000","403,000","631,000",
"3706  ","神達            ","0","0","0","653,000","24,000","629,000","653,000","24,000","629,000",
="056346","元大金中信6C購01","0","0","0","758,000","130,000","628,000","758,000","130,000","628,000",
="058377","大立光元大6A購02","0","0","0","758,000","131,000","627,000","758,000","131,000","627,000",
"1455  ","集盛            ","623,000","0","623,000","0","0","0","623,000","0","623,000",
="00642U","元大S&P石油     ","0","0","0","890,000","268,000","622,000","890,000","268,000","622,000",
="062825","凌巨國泰71購01  ","0","0","0","715,000","93,000","622,000","715,000","93,000","622,000",
="059184","華新群益6A購03  ","0","0","0","621,000","0","621,000","621,000","0","621,000",
="03319P","綠悅群益6B售04  ","0","0","0","787,000","167,000","620,000","787,000","167,000","620,000",
="04283P","貿聯凱基71售02  ","0","0","0","827,000","209,000","618,000","827,000","209,000","618,000",
="057565","矽力元大69購01  ","0","0","0","627,000","9,000","618,000","627,000","9,000","618,000",
="062352","台積電統一73購05","0","0","0","776,000","160,000","616,000","776,000","160,000","616,000",
="058848","樺漢元富6B購02  ","0","0","0","739,000","125,000","614,000","739,000","125,000","614,000",
="061456","滬深2X元大6C購05","0","0","0","644,000","30,000","614,000","644,000","30,000","614,000",
="062469","聯電國泰71購01  ","0","0","0","1,445,000","832,000","613,000","1,445,000","832,000","613,000",
="062325","群創元大6C購04  ","0","0","0","626,000","16,000","610,000","626,000","16,000","610,000",
="062270","大立光統一73購01","0","0","0","630,000","21,000","609,000","630,000","21,000","609,000",
="059037","聯鈞元大71購01  ","0","0","0","1,151,000","543,000","608,000","1,151,000","543,000","608,000",
="062907","鴻海國泰71購04  ","0","0","0","640,000","32,000","608,000","640,000","32,000","608,000",
="059125","友達台新6C購01  ","0","0","0","776,000","170,000","606,000","776,000","170,000","606,000",
="060162","聯鈞凱基6B購02  ","0","0","0","1,085,000","481,000","604,000","1,085,000","481,000","604,000",
="057462","瑞儀元富69購01  ","0","0","0","804,000","202,000","602,000","804,000","202,000","602,000",
="03942P","鴻海元大6C售09  ","0","0","0","922,000","322,000","600,000","922,000","322,000","600,000",
="08682P","聯發科富邦6C售02","0","0","0","600,000","0","600,000","600,000","0","600,000",
="07997P","台光電群益68售02","0","0","0","599,000","0","599,000","599,000","0","599,000",
="060489","長榮航日盛6B購01","0","0","0","783,000","185,000","598,000","783,000","185,000","598,000",
="060184","鴻海群益73購01  ","0","0","0","657,000","61,000","596,000","657,000","61,000","596,000",
="062937","綠悅國票72購01  ","0","0","0","708,000","112,000","596,000","708,000","112,000","596,000",
="061345","上銀玉山6C購01  ","0","0","0","681,000","87,000","594,000","681,000","87,000","594,000",
="063134","康友永豐71購01  ","0","0","0","602,000","8,000","594,000","602,000","8,000","594,000",
="07835P","GIS群益67售02   ","0","0","0","593,000","0","593,000","593,000","0","593,000",
="059571","群創統一6A購03  ","0","0","0","588,000","0","588,000","588,000","0","588,000",
="062660","致茂國泰72購01  ","0","0","0","1,030,000","444,000","586,000","1,030,000","444,000","586,000",
="062524","上銀元大71購01  ","0","0","0","1,612,000","1,029,000","583,000","1,612,000","1,029,000","583,000",
="056413","友達永豐69購01  ","0","0","0","910,000","330,000","580,000","910,000","330,000","580,000",
="061138","佳世達兆豐71購01","0","0","0","917,000","338,000","579,000","917,000","338,000","579,000",
="062750","凌陽永豐71購01  ","0","0","0","643,000","65,000","578,000","643,000","65,000","578,000",
